frame,x_raw,y_raw,x_smooth,y_smooth,x_standardized,y_standardized
1,1193.1816,387.9867,1193.2123,383.48523,0.0,-3.7759728
2,1203.7744,381.24777,1202.4741,385.77997,0.68832666,-9.512638
3,1211.6128,385.47614,1211.7024,388.7396,1.3741585,-16.911467
4,1219.1084,391.24347,1220.8976,392.05927,2.0575316,-25.210382
5,1229.0977,394.72424,1230.0602,395.43405,2.7384827,-33.64708
6,1238.5028,402.5722,1239.1908,398.55902,3.4170568,-41.459255
7,1249.0093,407.9845,1248.2898,401.12927,4.0932817,-47.88468
8,1258.9568,403.90134,1257.3577,402.8399,4.7671924,-52.161125
9,1267.8726,396.90793,1266.227,402.59204,5.4263525,-51.541485
10,1275.4595,397.37646,1275.3672,398.69373,6.105634,-41.796005
11,1285.229,404.65204,1284.652,395.734,6.795666,-34.39695
12,1291.0686,393.13654,1293.569,391.37234,7.458364,-23.493137
13,1301.2441,389.45685,1302.6122,386.2252,8.130444,-10.625654
14,1310.5312,377.761,1311.5168,380.79172,8.792225,2.9575934
15,1321.4357,365.135,1320.4817,377.5502,9.458479,11.061127
16,1331.1616,369.0659,1329.4326,374.2373,10.123699,19.343105
17,1340.2192,384.1328,1338.6207,370.05966,10.806545,29.786882
18,1347.0645,363.33868,1347.8209,366.89175,11.490292,37.7064
19,1357.2498,365.63043,1357.2448,366.59955,12.190657,38.436893
20,1364.6189,365.73724,1366.0869,367.04147,12.847794,37.33211
21,1373.9072,374.50458,1375.0951,368.55798,13.517268,33.54096
22,1383.1572,362.95984,1383.9031,369.5475,14.1718645,31.067284
23,1394.1575,364.72906,1392.5211,370.14474,14.8123455,29.574183
24,1402.3873,374.8267,1400.8744,371.14456,15.433147,27.074718
25,1410.4387,378.82092,1409.2622,375.0543,16.056519,17.300705
26,1417.5049,376.40396,1417.6266,376.57764,16.678146,13.492461
27,1427.5026,375.75922,1426.1853,377.3247,17.31422,11.6248455
28,1433.1498,376.1969,1434.7408,377.38953,17.950054,11.462802
29,1440.5449,382.18268,1443.6566,377.41296,18.612661,11.40421
30,1450.3401,378.37787,1453.0988,375.846,19.314388,15.321474
31,1462.2605,378.29248,1462.7198,373.32877,20.029413,21.614382
32,1472.6345,367.04605,1472.0944,371.43,20.726112,26.361162
33,1481.1995,366.35092,1481.0702,369.92322,21.393185,30.127981
34,1490.853,367.08102,1489.2716,368.68982,22.0027,33.21138
35,1499.7262,364.91312,1496.5155,367.5087,22.541058,36.16409
